rec_idx,title,company,location,career,education,deadline,link,crawled_at
52054792,2025년 하반기 ㈜시스메이트 신입/경력 사원 채용,(주)시스메이트,대전유성구,신입·경력,초대졸↑,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52054792&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51900693,[Laservall_수원/구미(경북)] 2025년 4분기 분야별 공개 채용,(주)레이저발테크놀러지,경기수원시 권선구,신입·경력,초대졸↑,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51900693&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52068864,신입 및 경력직원 채용공고,(주)유엔에이엔지니어링,경기군포시,신입·경력,학력무관,~ 11/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52068864&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51700985,[로봇개발본부] 이동로봇 관제 서버(ACS) S/W개발 (전문연 가능),(주)트위니,대전유성구,경력무관,초대졸↑,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51700985&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52046344,[공채] 세림 공개채용 - 시스템 엔지니어 / SW 개발자 / IT영업,세림티에스지(주),대전전체,신입·경력,초대졸↑,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52046344&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51951354,2025년 해커스 교육그룹 [신입/경력] 각 부문별 채용공고,해커스교육그룹,대구전체,신입·경력,학력무관,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51951354&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52051199,IT기술영업 네트워크구축 컴퓨터유지보수분야  / 경리보조업무,(주)대한정보,대구북구,신입·경력,학력무관,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52051199&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
51953338,㈜위즈코리아 '25년 하반기 신입/경력 사원 모집,(주)위즈코리아,대구전체,신입·경력,학력무관,~ 10/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51953338&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52014375,2025년 시스템 엔지니어 모집(신입/경력),(주)컴솔텍,부산남구,신입·경력,학력무관,~ 10/29(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52014375&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
52059579,신일제약㈜ 2025년 하반기 수시채용,신일제약(주),대전전체,신입·경력,학력무관,~ 10/27(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52059579&location=ts&searchType=search&paid_fl=n&search_uuid=25054fcd-94fc-49c2-bdf2-2b62d4983448,2025-10-25 06:45:56
