rec_idx,title,company,location,career,education,deadline,link,salary,crawled_at,score
52236548,2025년 세방그룹 11월 채용연계형 인턴/경력 채용,세방그룹,부산전체,신입·경력,대졸↑,~ 11/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52236548&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,95
52231071,2025년 하반기 Connect GLOVIS 신입채용,현대글로비스(주),울산전체,신입,대졸↑,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52231071&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,95
52238320,2026년도 신입직원(채용형인턴) 채용,한국조폐공사,서울전체,신입,학력무관,~ 11/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52238320&location=ts&searchType=search&paid_fl=n&search_uuid=118a057d-0a73-43f5-867a-d8071666dcec,,2025-11-12 01:05:28,85
52237112,2026년도 신입직원(채용형인턴) 채용(ICT),한국조폐공사,서울전체,신입,학력무관,~ 11/19(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52237112&location=ts&searchType=search&paid_fl=n&search_uuid=118a057d-0a73-43f5-867a-d8071666dcec,,2025-11-12 01:05:28,85
51826621,"자동화 응용프로그램 설계 및 제작(C계열,인공지능)",유징테크(주),경북포항시 남구,경력무관,대졸↑,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51826621&location=ts&searchType=search&paid_fl=n&search_uuid=9b195ef6-637e-48fb-88be-2afc7ba9768c,,2025-11-12 01:05:35,80
52191085,[앱개발] [정규직] 유니티 개발자 모집(신입경력 무관),(주)리모샷,대전유성구,신입·경력,초대졸↑,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52191085&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,80
52040994,(주)애니아이티 정보 보안 및 시스템 엔지니어 모집,(주)애니아이티,대구달서구,신입·경력,학력무관,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52040994&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,80
52084238,각 부문 신입 및 경력 채용,위드시스템(주),경북전체,신입·경력,고졸↑,~ 11/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52084238&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,80
52220809,4급 빌딩시설관리(PM/FM) / 5급 첨단보안직(CS) 신입사원 채용,(주)에스원,울산전체,신입,초대졸↑,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52220809&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,80
52202105,[대전] 보안 솔루션 방문/원격 기술지원 엔지니어 채용 (신입),(주)지란지교데이터,대전유성구,신입,학력무관,~ 11/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52202105&location=ts&searchType=search&paid_fl=n&search_uuid=118a057d-0a73-43f5-867a-d8071666dcec,,2025-11-12 01:05:28,80
52188426,각 부문 채용,하나제약(주),부산전체,신입·경력,고졸↑,~ 11/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52188426&location=ts&searchType=search&paid_fl=n&search_uuid=008cb20f-3e92-4905-bfa9-80fbe399b2ff,,2025-11-12 01:05:26,80
52171398,경남 - 신호과속단속장비  유지보수직원채용,아몽솔루션(주),경남창원시,경력무관,학력무관,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52171398&location=ts&searchType=search&paid_fl=n&search_uuid=118a057d-0a73-43f5-867a-d8071666dcec,,2025-11-12 01:05:28,80
51950438,"풀스택, 백엔드/서버 개발자, JAVA 개발자, 웹 개발자, 경력직",한국가이던스,대구전체,신입·경력,대졸↑,~ 11/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51950438&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,80
51833237,C#.net 개발자 채용,(주)코어플랫폼,부산해운대구,경력무관,학력무관,~ 11/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51833237&location=ts&searchType=search&paid_fl=n&search_uuid=4eb65405-2a59-481c-b932-6792b4540c24,,2025-11-12 01:05:32,80
